# radbeeper 0.5.0 -- counter F48824B8207F7E
# emissions 9
# counts is clamped at fifteen a second, as the emission log records it; the .bin frames hold it unclamped
#seq	started	samples	counts	cpm	usvh	bits	flat	band	log_cpm	key	link
0	1969-12-31T21:01:12	209	185	53.112	0.350574	266.9	yes	nominal	--	40cce6617db2b52b83527e1ca3722d2252fba76f5d1d3be76723d52dd853f8cc	57a8e714be6dc3aad6085d976d31fb3d42675f348f5a33e8bcca237d2b429104
0	1969-12-31T21:14:10	265	179	40.53	0.267525	258.2	yes	nominal	--	53dd02370744d1fe8f14e44f72df981d0cdaba9b13a46ae0b5939dfae28f290a	f84325d325e28fdb8f62b66d697bfadd13a739067107876596f9b1cdf1e8aec2
1	1969-12-31T21:18:36	181	178	59.004	0.389465	256.8	yes	nominal	--	22e887bbad9792a07ce1f52f2149600ece1014b8ec5e3b1db3e6a2df1fe32d11	034765da97d033f59e31533a21eb90437bbc6579713503b773e36010d6afffdb
0	1969-12-31T22:15:44	226	178	47.256	0.311921	256.8	yes	nominal	--	d0eb87e19836c8a0e98db5f28be418c5cac6a38690a939a2a7920ad302eca16a	d9b548e1eb416bc3b564c03cf5ce9152e7a180012e595b1130ac5dc7f80e16d8
0	1969-12-31T22:30:08	247	179	43.482	0.28701	258.2	yes	nominal	--	9f463527c9c014d062ec9c08a0d83eaa8c3537eb29cf82fcb3f8b28b13078940	45055b018ecc1c65d1db93cac60c4044aea2b39738d252bae9c665731a58f424
0	2026-09-04T18:28:12	448	305	40.848	0.269624	257.9	yes	nominal	--	b17c9c60d5deeb7b4b102dfcbec14efcb523818b18d3ada0582bd912e61ff856	7633ca4ab1a667fbfbf8fe2af29fdd8e22c5d96be6b19d0de1625142b0702e91
0	2026-09-04T18:56:48	459	315	41.178	0.271802	256.1	yes	nominal	--	7d932e4fc8b9565a2bf73d4f5cf557bdf22139d2538ebdbbbd5664beb3c4c017	9b996165648896adff0b097ddf594795f7855f63f3d2bcdaaa3a3742aa50fc85
1	2026-09-04T19:04:29	459	312	40.782	0.269188	256.1	yes	nominal	--	db885956cfba5ec552b6f63e5e37332be1f30b0fc973a10bbfe38bd8c05d540e	456f66426a5247590808e4b10a0411f11508579ec910b1057e558d2430f0ea6b
2	2026-09-04T19:12:11	494	337	40.932	0.270178	256.9	no	nominal	--	6892a83b0a8c4b9b901f239b55b395847291a76bebae9f3b9dde258dfb60566a	e717931a42e9327645f125c61a46ac6ecd8ce146dc1a9d82c2c79e88c5c4d0f3
