#seq	time	seconds	rate	bits	flat	hex	counts
0	1969-12-31T21:01:12	209	0.8852	266.9	yes	40cce6617db2b52b83527e1ca3722d2252fba76f5d1d3be76723d52dd853f8cc	1000000011402000000111210100000000000200400010010020021020100010201000000002000000101120000021031100115303020101020001005210013000110330010000000004530010040100110050003422001122a050a00100101002041400004000008
0	1969-12-31T21:14:10	265	0.6755	258.2	yes	53dd02370744d1fe8f14e44f72df981d0cdaba9b13a46ae0b5939dfae28f290a	3100121100040100200001020012000401001010111500111000010000100000000000005210100000012020030000100000100000000026055100302000212100040001020100001010210002510000000101015001100000001001010410001100101000100011021103000000100000004000421010010013001000018010100002102
1	1969-12-31T21:18:36	181	0.9834	256.8	yes	22e887bbad9792a07ce1f52f2149600ece1014b8ec5e3b1db3e6a2df1fe32d11	00000000001102012500110011110120015021022101301100001000042101044111000044420000050010000000590010600300921003120010800000010200071010030100000001a2100010000034100000010000010040001
0	1969-12-31T22:15:44	226	0.7876	256.8	yes	d0eb87e19836c8a0e98db5f28be418c5cac6a38690a939a2a7920ad302eca16a	0000000120000710000000000131001130100000000000013020000411011100150000112004100200000000000102001020100000060001010021111001010002400000000120140300201001230111000010000000203030130000101043022101100300000300333101114421133501
0	1969-12-31T22:30:08	247	0.7247	258.2	yes	9f463527c9c014d062ec9c08a0d83eaa8c3537eb29cf82fcb3f8b28b13078940	0231110200000000011000000173021010100011110007031400001220100000300000000100001100000230002300001000000000001000151101130112133000000125202000000100100022010011000000300000000000004212141402210000310000230113000004000001010000000040100200000011313
0	2026-09-04T18:28:12	448	0.6808	257.9	yes	b17c9c60d5deeb7b4b102dfcbec14efcb523818b18d3ada0582bd912e61ff856	0001000000011203011303121112020000002010005022230200000012000012102000001003200100000021123000000001224110142200200000010100020010010001001003001100113001100000102200010100112012130200101611101000101001201010120000000000000010001000010011100010000000000a00120000102013150510010001000000230001010000010000113201201021022100000101100271214000010102112000010110110000004200100000000010001000100000003101000000000400000411000411000100020000000023340022
0	2026-09-04T18:56:48	459	0.6863	256.1	yes	7d932e4fc8b9565a2bf73d4f5cf557bdf22139d2538ebdbbbd5664beb3c4c017	000001020110000000000010001000100000031001110041001011031000114111000110000001000020000100201100000110001541101001000102000011522513012000002001012100000102000000002001002000110000000000000300105111602000230000110020000033101010001020001011010011000501100001001631000002002111000000731001100001010020420110000100110210000001640410000002100000000240420001032100430000200000101002000000302402321110000133110000010400004000003100111012000000010001000100001200011
1	2026-09-04T19:04:29	459	0.6797	256.1	yes	db885956cfba5ec552b6f63e5e37332be1f30b0fc973a10bbfe38bd8c05d540e	123001000100043100010010000010162101100003312010000001010101020111000101003300000010010030002010024204010100000000000200000100000002000010100002300120100101002300010020200210000041001200400000010313111110011001000164220100010110200100131001020311002000000000103200140200102000100000100240200000000001000000210440001000101040000020011002000000010001000422101120000201100210000001240000000200331001100000000000001016213510011012021001030001010001020100000020203
2	2026-09-04T19:12:11	494	0.6822	256.9	no	6892a83b0a8c4b9b901f239b55b395847291a76bebae9f3b9dde258dfb60566a	100013200301010100100000000001003100000001233001610201010000100021110101100101001021200110010000000000001001000000000000100000000010031102030011010040100000000051220100011000100002030405101250010110000000020100010000000000220021101001110100201000013002032300162100000100005200010040010000002301010213000001000000200000100100000003000000300000400111000010303601022001014400000000003000100100002200033002000001000100110000000032013323003001003200100025300311102010010100000050130000121c1101000001
